,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
0,RB50392,Washington,F,Master,793690,0,1000,0,Personal Auto,Four-Door Car,2
1,QZ44356,Arizona,F,Bachelor,697953,0,94,0,Personal Auto,Four-Door Car,1131
2,AI49188,Nevada,F,Bachelor,1288743,48767,108,0,Personal Auto,Two-Door Car,566
3,WW63253,California,M,Bachelor,764586,0,106,0,Corporate Auto,SUV,529
4,GA49547,Washington,M,High School or Below,536307,36357,68,0,Personal Auto,Four-Door Car,17
5,OC83172,Oregon,F,Bachelor,825629,62902,69,0,Personal Auto,Two-Door Car,159
6,XZ87318,Oregon,F,College,538089,55350,67,0,Corporate Auto,Four-Door Car,321
7,DY87989,Oregon,M,Bachelor,2412750,14072,71,0,Corporate Auto,Four-Door Car,511
8,BQ94931,Oregon,F,College,738817,28812,93,0,Special Auto,Four-Door Car,425
9,DP39365,California,F,Master,879879,77026,110,2,Corporate Auto,Four-Door Car,472
10,SJ95423,Arizona,F,High School or Below,881901,99845,110,1,Corporate Auto,SUV,528
11,IL66569,California,F,College,538443,83689,70,2,Corporate Auto,Four-Door Car,307
12,BW63560,Oregon,F,Bachelor,746313,24599,64,1,Corporate Auto,Four-Door Car,42
13,FV94802,Nevada,F,High School or Below,256686,25049,67,0,Personal Auto,Two-Door Car,454
14,OE15005,California,F,College,394524,28855,101,0,Personal Auto,SUV,647
15,WC83389,Oregon,F,College,571033,51148,72,0,Personal Auto,Four-Door Car,308
16,FL50705,California,F,High School or Below,816261,66140,101,0,Corporate Auto,Four-Door Car,484
17,ZK25313,Oregon,F,High School or Below,287205,57749,74,0,Personal Auto,Two-Door Car,355
18,QK46697,Washington,M,Bachelor,617710,61040,79,1,Personal Auto,Two-Door Car,20
19,YH23384,Arizona,F,Bachelor,2412750,14072,71,0,Personal Auto,Four-Door Car,511
20,TZ98966,Nevada,F,Bachelor,245019,0,73,3,Corporate Auto,Four-Door Car,554
21,HM55802,California,F,Bachelor,239210,17870,61,0,Corporate Auto,Four-Door Car,439
22,FS42516,Oregon,F,College,580206,97541,72,0,Personal Auto,Four-Door Car,389
23,HS14476,Washington,M,College,916206,29723,80,0,Personal Auto,Four-Door Car,20
24,GE62437,Arizona,F,College,1290256,86584,111,2,Personal Auto,Four-Door Car,532
25,EJ77678,Oregon,F,Master,323536,75690,80,1,Personal Auto,Four-Door Car,384
26,SV85652,Arizona,F,College,245458,23158,63,1,Personal Auto,Four-Door Car,322
27,UL64533,Nevada,F,High School or Below,1897545,65999,237,0,Corporate Auto,Luxury,615
28,SK67821,Oregon,F,Bachelor,493291,37260,62,0,Corporate Auto,Four-Door Car,15
29,YV55495,Arizona,F,High School or Below,574422,68987,71,0,Personal Auto,Four-Door Car,204
30,KY38074,California,F,Bachelor,1389173,42305,117,0,Personal Auto,Four-Door Car,561
31,DM79012,Oregon,F,Master,738097,65706,91,0,Personal Auto,Four-Door Car,436
32,CM61827,Oregon,F,Bachelor,309003,0,90,0,Personal Auto,Two-Door Car,648
33,WC35801,Arizona,F,High School or Below,252163,53243,66,2,Personal Auto,Four-Door Car,157
34,MB98372,Oregon,F,College,277104,50071,71,0,Corporate Auto,Two-Door Car,18
35,IL19217,California,F,Bachelor,393900,60021,99,0,Personal Auto,Four-Door Car,882
36,SR38658,Arizona,F,High School or Below,1223187,43244,103,0,Personal Auto,Luxury,494
37,YD87931,Washington,M,Doctor,495165,46896,35354,1,Personal Auto,Four-Door Car,31
38,HG65722,Oregon,F,Doctor,1281910,10105,172,3,Personal Auto,SUV,0
39,XM45289,Oregon,F,High School or Below,551434,23218,71,0,Personal Auto,Two-Door Car,447
40,WE95729,Oregon,F,College,3670742,24804,104,0,Personal Auto,SUV,593
